Circuit: * C:\Users\Frank Walsh\Documents\GitHub\AUV-Senior-Design\Frank\chum-bucket\Sims\Battery Charger Buck\Draft1.asc

WARNING: Less than two connections to node NC_01.  This node is used by R:U2:GLR.
Model "u2:nfetls:pmosd": Oxide thickness thinner than recommended for a level 1 MOSFET.
Instance "m:u2:nfetls:2": Length shorter than recommended for a level 1 MOSFET.
Model "u2:nfeths:pmosd": Oxide thickness thinner than recommended for a level 1 MOSFET.
Instance "m:u2:nfeths:2": Length shorter than recommended for a level 1 MOSFET.
Direct Newton iteration for .op point succeeded.
Heightened Def Con from 9.0088e-007 to 9.01005e-007
Heightened Def Con from 1.64715e-006 to 1.6601e-006
Heightened Def Con from 2.5609e-006 to 2.56103e-006
Heightened Def Con from 2.56565e-006 to 2.5762e-006
Heightened Def Con from 3.30715e-006 to 3.32215e-006
Heightened Def Con from 4.22089e-006 to 4.22502e-006
Heightened Def Con from 4.96715e-006 to 4.98165e-006
Heightened Def Con from 5.8809e-006 to 5.8839e-006
Heightened Def Con from 5.88406e-006 to 5.89418e-006
Heightened Def Con from 6.62715e-006 to 6.64165e-006
Heightened Def Con from 7.54091e-006 to 7.54304e-006
Heightened Def Con from 7.54376e-006 to 7.55651e-006
Heightened Def Con from 8.28714e-006 to 8.30164e-006
Heightened Def Con from 9.20092e-006 to 9.20292e-006
Heightened Def Con from 9.20335e-006 to 9.21447e-006
Heightened Def Con from 9.94714e-006 to 9.96152e-006
Heightened Def Con from 1.08609e-005 to 1.08614e-005
Heightened Def Con from 1.16071e-005 to 1.16203e-005
Heightened Def Con from 1.25209e-005 to 1.25214e-005
Heightened Def Con from 1.32671e-005 to 1.32803e-005
Heightened Def Con from 1.4181e-005 to 1.41815e-005
Heightened Def Con from 1.49271e-005 to 1.49403e-005
Heightened Def Con from 1.5841e-005 to 1.58415e-005
Heightened Def Con from 1.65871e-005 to 1.66003e-005
Heightened Def Con from 1.7501e-005 to 1.7502e-005
Heightened Def Con from 1.82471e-005 to 1.82603e-005
Heightened Def Con from 1.9161e-005 to 1.9162e-005
Heightened Def Con from 1.99071e-005 to 1.99203e-005
Heightened Def Con from 2.0821e-005 to 2.0822e-005
Heightened Def Con from 2.0822e-005 to 2.0862e-005
Heightened Def Con from 2.15671e-005 to 2.15803e-005
Heightened Def Con from 2.2481e-005 to 2.24811e-005
Heightened Def Con from 2.32271e-005 to 2.32403e-005
Heightened Def Con from 2.4141e-005 to 2.41412e-005
Heightened Def Con from 2.48871e-005 to 2.49003e-005
Heightened Def Con from 2.5801e-005 to 2.58012e-005
Heightened Def Con from 2.65471e-005 to 2.65593e-005
Heightened Def Con from 2.74611e-005 to 2.74612e-005
Heightened Def Con from 2.82071e-005 to 2.82193e-005
Heightened Def Con from 2.91211e-005 to 2.91212e-005
Heightened Def Con from 2.98671e-005 to 2.98793e-005
Heightened Def Con from 3.07811e-005 to 3.07812e-005
Heightened Def Con from 3.15271e-005 to 3.15393e-005
Heightened Def Con from 3.24411e-005 to 3.24412e-005
Heightened Def Con from 3.31871e-005 to 3.31993e-005
Heightened Def Con from 3.41011e-005 to 3.41012e-005
Heightened Def Con from 3.48471e-005 to 3.48593e-005
Heightened Def Con from 3.57611e-005 to 3.57612e-005
Heightened Def Con from 3.65071e-005 to 3.65193e-005
Heightened Def Con from 3.74211e-005 to 3.74212e-005
Heightened Def Con from 3.8173e-005 to 3.81811e-005
Heightened Def Con from 3.90811e-005 to 3.90812e-005
Heightened Def Con from 3.98271e-005 to 3.98403e-005
Heightened Def Con from 4.07411e-005 to 4.07412e-005
Heightened Def Con from 4.14871e-005 to 4.15003e-005
Heightened Def Con from 4.24011e-005 to 4.24012e-005
Heightened Def Con from 4.31471e-005 to 4.31603e-005
Heightened Def Con from 4.40611e-005 to 4.40621e-005
Heightened Def Con from 4.40621e-005 to 4.40742e-005
Heightened Def Con from 4.48071e-005 to 4.48202e-005
Heightened Def Con from 4.57211e-005 to 4.57221e-005
Heightened Def Con from 4.57221e-005 to 4.57342e-005
Heightened Def Con from 4.64671e-005 to 4.64803e-005
Heightened Def Con from 4.73811e-005 to 4.73821e-005
Heightened Def Con from 4.73831e-005 to 4.73942e-005
Heightened Def Con from 4.81271e-005 to 4.81403e-005
Heightened Def Con from 4.9041e-005 to 4.9042e-005
Heightened Def Con from 4.97871e-005 to 4.98003e-005
Heightened Def Con from 5.0701e-005 to 5.0702e-005
Heightened Def Con from 5.14471e-005 to 5.14603e-005
Heightened Def Con from 5.2361e-005 to 5.2362e-005
Heightened Def Con from 5.31071e-005 to 5.31203e-005
Heightened Def Con from 5.4021e-005 to 5.40212e-005
Heightened Def Con from 5.47671e-005 to 5.47803e-005
Heightened Def Con from 5.5681e-005 to 5.56812e-005
Heightened Def Con from 5.64271e-005 to 5.64403e-005
Heightened Def Con from 5.7341e-005 to 5.73412e-005
Heightened Def Con from 5.80871e-005 to 5.81003e-005
Heightened Def Con from 5.9001e-005 to 5.90011e-005
Heightened Def Con from 5.97471e-005 to 5.97603e-005
Heightened Def Con from 6.0661e-005 to 6.06611e-005
Heightened Def Con from 6.14071e-005 to 6.14203e-005
Heightened Def Con from 6.2321e-005 to 6.23211e-005
Heightened Def Con from 6.30671e-005 to 6.30803e-005
Heightened Def Con from 6.3981e-005 to 6.39811e-005
Heightened Def Con from 6.47271e-005 to 6.47403e-005
Heightened Def Con from 6.5641e-005 to 6.56411e-005
Heightened Def Con from 6.63871e-005 to 6.64003e-005
Heightened Def Con from 6.7301e-005 to 6.73011e-005
Heightened Def Con from 6.80471e-005 to 6.80603e-005
Heightened Def Con from 6.8961e-005 to 6.89611e-005
Heightened Def Con from 6.97071e-005 to 6.97203e-005
Heightened Def Con from 7.0621e-005 to 7.06211e-005
Heightened Def Con from 7.13671e-005 to 7.13803e-005
Heightened Def Con from 7.2281e-005 to 7.22811e-005
Heightened Def Con from 7.30271e-005 to 7.30403e-005
Heightened Def Con from 7.3941e-005 to 7.39411e-005
Heightened Def Con from 7.46871e-005 to 7.47003e-005
Heightened Def Con from 7.5601e-005 to 7.56011e-005
Heightened Def Con from 7.63471e-005 to 7.63603e-005
Heightened Def Con from 7.7261e-005 to 7.72611e-005
Heightened Def Con from 7.80071e-005 to 7.80203e-005
Heightened Def Con from 7.8921e-005 to 7.89211e-005
Heightened Def Con from 7.96671e-005 to 7.96803e-005
Heightened Def Con from 8.0581e-005 to 8.05811e-005
Heightened Def Con from 8.13271e-005 to 8.13403e-005
Heightened Def Con from 8.2241e-005 to 8.22411e-005
Heightened Def Con from 8.29871e-005 to 8.30003e-005
Heightened Def Con from 8.3901e-005 to 8.39011e-005
Heightened Def Con from 8.46471e-005 to 8.46603e-005
Heightened Def Con from 8.5561e-005 to 8.55611e-005
Heightened Def Con from 8.63071e-005 to 8.63203e-005
Heightened Def Con from 8.7221e-005 to 8.72211e-005
Heightened Def Con from 8.79671e-005 to 8.79803e-005
Heightened Def Con from 8.8881e-005 to 8.8882e-005
Heightened Def Con from 8.96271e-005 to 8.96403e-005
Heightened Def Con from 9.0541e-005 to 9.0542e-005
Heightened Def Con from 9.05431e-005 to 9.05543e-005
Heightened Def Con from 9.12871e-005 to 9.13003e-005
Heightened Def Con from 9.2201e-005 to 9.2202e-005
Heightened Def Con from 9.29471e-005 to 9.29603e-005
Heightened Def Con from 9.3861e-005 to 9.3862e-005
Heightened Def Con from 9.38628e-005 to 9.38749e-005
Heightened Def Con from 9.46071e-005 to 9.46203e-005
Heightened Def Con from 9.5521e-005 to 9.5522e-005
Heightened Def Con from 9.62671e-005 to 9.62803e-005
Heightened Def Con from 9.7181e-005 to 9.7182e-005
Heightened Def Con from 9.71831e-005 to 9.71942e-005
Heightened Def Con from 9.79271e-005 to 9.79403e-005
Heightened Def Con from 9.8841e-005 to 9.8842e-005
Heightened Def Con from 9.95871e-005 to 9.96003e-005
Heightened Def Con from 0.000100501 to 0.000100502
Heightened Def Con from 0.000101247 to 0.00010126
Heightened Def Con from 0.000102161 to 0.000102162
Heightened Def Con from 0.000102907 to 0.00010292
Heightened Def Con from 0.000103821 to 0.000103822
Heightened Def Con from 0.000104567 to 0.00010458
Heightened Def Con from 0.000105481 to 0.000105482
Heightened Def Con from 0.000106227 to 0.00010624
Heightened Def Con from 0.000107141 to 0.000107142
Heightened Def Con from 0.000107887 to 0.0001079
Heightened Def Con from 0.000108801 to 0.000108802
Heightened Def Con from 0.000108803 to 0.000108814
Heightened Def Con from 0.000109547 to 0.00010956
Heightened Def Con from 0.000110461 to 0.000110462
Heightened Def Con from 0.000110463 to 0.000110474
Heightened Def Con from 0.000111207 to 0.00011122
Heightened Def Con from 0.000112121 to 0.000112122
Heightened Def Con from 0.000112867 to 0.00011288
Heightened Def Con from 0.000113781 to 0.000113782
Heightened Def Con from 0.000114527 to 0.00011454
Heightened Def Con from 0.000115441 to 0.000115442
Heightened Def Con from 0.000116187 to 0.0001162
Heightened Def Con from 0.000117101 to 0.000117102
Heightened Def Con from 0.000117103 to 0.000117114
Heightened Def Con from 0.000117847 to 0.00011786
Heightened Def Con from 0.000118761 to 0.000118762
Heightened Def Con from 0.000118763 to 0.000118774
Heightened Def Con from 0.000119507 to 0.00011952
Heightened Def Con from 0.000120421 to 0.000120422
Heightened Def Con from 0.000121167 to 0.00012118
Heightened Def Con from 0.000122081 to 0.000122082
Heightened Def Con from 0.000122083 to 0.000122097
Heightened Def Con from 0.000122827 to 0.00012284
Heightened Def Con from 0.000123741 to 0.000123742
Heightened Def Con from 0.000124487 to 0.0001245
Heightened Def Con from 0.000125401 to 0.000125402
Heightened Def Con from 0.000126147 to 0.00012616
